BarChartType,ModelName,SamplingTarget,SamplingMethod,DownSamplingLevel,RunIndex,MeanError
2,VGG19,Ratio,OOD,2,0,0.036184889
2,VGG19,Ratio,OOD,2,1,0.078154538
2,VGG19,Ratio,OOD,2,2,0.06268048999999999
2,VGG19,Ratio,OOD,2,3,0.062802461
2,VGG19,Ratio,OOD,2,4,0.1363605
2,VGG19,Ratio,OOD,4,0,0.1698050945
2,VGG19,Ratio,OOD,4,1,0.265909439
2,VGG19,Ratio,OOD,4,2,0.2097972045
2,VGG19,Ratio,OOD,4,3,0.25632233249999997
2,VGG19,Ratio,OOD,4,4,0.369989775
2,VGG19,Ratio,OOD,8,0,0.253480048
2,VGG19,Ratio,OOD,8,1,0.324244033
2,VGG19,Ratio,OOD,8,2,0.303623527
2,VGG19,Ratio,OOD,8,3,0.318768928
2,VGG19,Ratio,OOD,8,4,0.414535118
2,VGG19,Ratio,OOD,16,0,0.2972228455
2,VGG19,Ratio,OOD,16,1,0.380116757
2,VGG19,Ratio,OOD,16,2,0.36407364550000004
2,VGG19,Ratio,OOD,16,3,0.37399242850000003
2,VGG19,Ratio,OOD,16,4,0.49618892699999995
2,VGG19,Height,IID,2,0,0.012326176
2,VGG19,Height,IID,2,1,0.0296078225
2,VGG19,Height,IID,2,2,0.0804340125
2,VGG19,Height,IID,2,3,0.007885541999999999
2,VGG19,Height,IID,2,4,0.012814836
2,VGG19,Height,IID,4,0,0.0135602285
2,VGG19,Height,IID,4,1,0.127671127
2,VGG19,Height,IID,4,2,0.0894305245
2,VGG19,Height,IID,4,3,0.035025881499999995
2,VGG19,Height,IID,4,4,0.0279499525
2,VGG19,Height,IID,8,0,0.043357218999999995
2,VGG19,Height,IID,8,1,0.12090916850000001
2,VGG19,Height,IID,8,2,0.15409835900000002
2,VGG19,Height,IID,8,3,0.0423191975
2,VGG19,Height,IID,8,4,0.045400806
2,VGG19,Height,IID,16,0,0.0558967245
2,VGG19,Height,IID,16,1,0.11594354800000001
2,VGG19,Height,IID,16,2,0.183523731
2,VGG19,Height,IID,16,3,0.146251978
2,VGG19,Height,IID,16,4,0.064341084
2,VGG19,Height,COV,2,0,0.0101658075
2,VGG19,Height,COV,2,1,0.010697491499999998
